,да,ог,он,ны,ит,ил,ну,ой,ас,ин,до,че,ки,ми,се,ам,со,нн,ое,сь,ив,ей,вс,вы,ве,ди,ие,ма,ар,тв,ав,ед,ег,ле,мы,во,пр,ли,ре,ан,го,ва,ис,из,ол,ру,ос,ся,бы,тр,аз,мо,ак,не,чт,ть,ча,де,ск,их,за,ти,ик,ем,но,на,ро,по,ен,ни,бо,сл,ия,ви,ла,ал,од,ка,ес,ло,об,ет,ме,ри,пе,ль,ом,ел,та,ов,ер,же,ст,им,ор,ко,ра,ат,те,от,то
0,40.0,35.0,34.0,29.0,28.0,28.0,28.0,23.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,9.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42.0,36.0,36.0,30.0,30.0,30.0,30.0,24.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
